GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EUN-app-api,org.youngmonkeys.eun.app.request,SubscriberChatLobbyOperationRequest,73,0,10,0,3,0,13,0,8,0
EUN-app-api,org.youngmonkeys.eun.app.request,SynchronizationDataGameObjectRoomOperationRequest,121,0,20,0,6,0,20,0,10,0
EUN-app-api,org.youngmonkeys.eun.app.request,GetCurrentLobbyStatsOperationRequest,109,0,16,0,7,0,18,0,10,0
EUN-app-api,org.youngmonkeys.eun.app.request,OperationRequest,202,0,34,0,6,0,31,0,14,0
EUN-app-api,org.youngmonkeys.eun.app.request,JoinOrCreateRoomOperationRequest,385,0,64,0,17,0,56,0,24,0
EUN-app-api,org.youngmonkeys.eun.app.request,CreateRoomOperationRequest,300,0,46,0,13,0,43,0,20,0
EUN-app-api,org.youngmonkeys.eun.app.request,JoinLobbyOperationRequest,69,0,8,0,3,0,12,0,8,0
EUN-app-api,org.youngmonkeys.eun.app.request,ChangeRoomInfoOperationRequest,99,0,20,0,5,0,18,0,8,0
EUN-app-api,org.youngmonkeys.eun.app.request,CreateGameObjectRoomOperationRequest,182,0,34,0,7,0,29,0,12,0
EUN-app-api,org.youngmonkeys.eun.app.request,TransferGameObjectRoomOperationRequest,109,0,16,0,7,0,18,0,10,0
EUN-app-api,org.youngmonkeys.eun.app.request,ChatAllOperationRequest,96,0,18,0,5,0,17,0,8,0
EUN-app-api,org.youngmonkeys.eun.app.request,GetLobbyStatsLstOperationRequest,109,0,16,0,7,0,18,0,10,0
EUN-app-api,org.youngmonkeys.eun.app.request,LeaveLobbyOperationRequest,36,0,6,0,2,0,9,0,6,0
EUN-app-api,org.youngmonkeys.eun.app.request,SubscriberChatAllOperationRequest,73,0,10,0,3,0,13,0,8,0
EUN-app-api,org.youngmonkeys.eun.app.request,LeaveRoomOperationRequest,36,0,6,0,2,0,9,0,6,0
EUN-app-api,org.youngmonkeys.eun.app.request,SyncTsOperationRequest,36,0,6,0,2,0,9,0,6,0
EUN-app-api,org.youngmonkeys.eun.app.request,JoinRoomOperationRequest,121,0,20,0,6,0,20,0,10,0
EUN-app-api,org.youngmonkeys.eun.app.request,ChangePlayerCustomPropertiesOperationRequest,130,0,24,0,7,0,22,0,10,0
EUN-app-api,org.youngmonkeys.eun.app.request,ChatRoomOperationRequest,96,0,18,0,5,0,17,0,8,0
EUN-app-api,org.youngmonkeys.eun.app.request,DestroyGameObjectRoomOperationRequest,78,0,12,0,5,0,14,0,8,0
EUN-app-api,org.youngmonkeys.eun.app.request,RpcGameObjectRoomOperationRequest,152,0,24,0,8,0,24,0,12,0
EUN-app-api,org.youngmonkeys.eun.app.request,ChatLobbyOperationRequest,96,0,18,0,5,0,17,0,8,0
EUN-app-api,org.youngmonkeys.eun.app.request,ChangeLeaderClientOperationRequest,78,0,12,0,5,0,14,0,8,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler.base,RequestHandler,53,0,6,0,13,0,7,0,4,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler.base,LobbyRequestHandler,90,0,14,0,18,0,12,0,5,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler.base,RoomRequestHandler,37,0,6,0,7,0,7,0,4,0
EUN-app-api,org.youngmonkeys.eun.app.event,OperationEvent,148,0,24,0,8,0,22,0,10,0
EUN-app-api,org.youngmonkeys.eun.app.service,TimerService,194,0,14,0,58,0,22,0,15,0
EUN-app-api,org.youngmonkeys.eun.app.service,UserService,268,0,42,0,61,0,32,0,11,0
EUN-app-api,org.youngmonkeys.eun.app.service,LobbyService,44,0,2,0,10,0,5,0,4,0
EUN-app-api,org.youngmonkeys.eun.app.service,DisconnectRoomService,160,0,18,0,35,0,16,0,7,0
EUN-app-api,org.youngmonkeys.eun.app.service,ChatAllService,54,0,8,0,12,0,8,0,4,0
EUN-app-api,org.youngmonkeys.eun.app.service,RequestConverterService,170,0,20,0,39,0,13,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,SubscriberChatLobbyRequestHandler,65,0,10,0,13,0,8,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,ChangeRoomInfoRequestHandler,175,0,24,0,34,0,15,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,SynchronizationDataGameObjectRoomRequestHandler,70,0,12,0,14,0,9,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,ChatAllRequestHandler,102,0,8,0,19,0,8,0,4,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,DestroyGameObjectRoomRequestHandler,68,0,12,0,14,0,9,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,JoinRoomRequestHandler,123,0,24,0,34,0,15,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,JoinOrCreateRoomRequestHandler,219,0,40,0,50,0,24,0,4,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,SubscriberChatAllRequestHandler,63,0,10,0,12,0,8,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,ChatLobbyRequestHandler,108,0,8,0,21,0,8,0,4,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,SyncTsRequestHandler,60,0,8,0,12,0,7,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,ChangePlayerCustomPropertiesRequestHandler,74,0,12,0,16,0,9,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,JoinLobbyRequestHandler,80,0,12,0,15,0,9,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,GetLobbyStatsLstRequestHandler,99,0,14,0,25,0,10,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,CreateRoomRequestHandler,149,0,20,0,33,0,13,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,CreateGameObjectRoomRequestHandler,86,0,12,0,19,0,9,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,LeaveRoomRequestHandler,67,0,12,0,16,0,9,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,TransferGameObjectRoomRequestHandler,70,0,12,0,14,0,9,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,ChatRoomRequestHandler,115,0,10,0,23,0,9,0,4,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,GetCurrentLobbyStatsRequestHandler,113,0,16,0,28,0,11,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,ChangeLeaderClientRequestHandler,69,0,12,0,16,0,9,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,LeaveLobbyRequestHandler,51,0,8,0,10,0,7,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller.handler,RpcGameObjectRoomRequestHandler,72,0,12,0,14,0,9,0,3,0
EUN-app-api,org.youngmonkeys.eun.app.controller,UserAccessAppController,56,0,4,0,13,0,4,0,2,0
EUN-app-api,org.youngmonkeys.eun.app.controller,UserRemovedController,78,0,4,0,17,0,4,0,2,0
EUN-app-api,org.youngmonkeys.eun.app.controller,ServerReadyController,8,0,0,0,3,0,2,0,2,0
EUN-app-api,org.youngmonkeys.eun.app.controller,RequestController,143,0,12,0,33,0,11,0,5,0
EUN-app-api,org.youngmonkeys.eun.app.response,OperationResponse,261,0,38,0,13,0,35,0,16,0
EUN-app-api,org.youngmonkeys.eun.app.request.base,Request,86,0,14,0,3,0,15,0,8,0
EUN-app-api,org.youngmonkeys.eun.app.extension,EzyUserExtension,12,0,2,0,3,0,3,0,2,0
EUN-app-api,org.youngmonkeys.eun.app.entity,Room,1852,0,146,0,370,0,140,0,67,0
EUN-app-api,org.youngmonkeys.eun.app.entity,Lobby,241,0,28,0,49,0,30,0,16,0
EUN-app-api,org.youngmonkeys.eun.app.entity,DisconnectRoomInfo,160,0,24,0,4,0,23,0,11,0
EUN-app-api,org.youngmonkeys.eun.app.config,AppConfig,33,0,6,0,1,0,8,0,5,0
EUN-app-api,org.youngmonkeys.eun.app,AppEntry,62,0,0,0,16,0,6,0,6,0
